1,01,Республика Адыгея (Адыгея)
2,02,Республика Башкортостан
3,03,Республика Бурятия
4,04,Республика Алтай
5,05,Республика Дагестан
6,06,Республика Ингушетия
7,07,Кабардино-Балкарская Республика
8,08,Республика Калмыкия
9,09,Карачаево-Черкесская Республика
10,10,Республика Карелия
11,11,Республика Коми
12,12,Республика Марий Эл
13,13,Республика Мордовия
14,14,Республика Саха (Якутия)
15,15,Республика Северная Осетия - Алания
16,16,Республика Татарстан (Татарстан)
17,17,Республика Тыва
18,18,Удмуртская Республика
19,19,Республика Хакасия
20,20,Чеченская Республика
21,21,Чувашская Республика – Чувашия
22,22,Алтайский край
23,23,Краснодарский край
24,24,Красноярский край
25,25,Приморский край
26,26,Ставропольский край
27,27,Хабаровский край
28,28,Амурская область
29,29,Архангельская область
30,30,Астраханская область
31,31,Белгородская область
32,32,Брянская область
33,33,Владимирская область
34,34,Волгоградская область
35,35,Вологодская область
36,36,Воронежская область
37,37,Ивановская область
38,38,Иркутская область
39,39,Калининградская область
40,40,Калужская область
41,41,Камчатская область
42,42,Кемеровская область
43,43,Кировская область
44,44,Костромская область
45,45,Курганская область
46,46,Курская область
47,47,Ленинградская область
48,48,Липецкая область
49,49,Магаданская область
50,50,Московская область
51,51,Мурманская область
52,52,Нижегородская область
53,53,Новгородская область
54,54,Новосибирская область
55,55,Омская область
56,56,Оренбургская область
57,57,Орловская область
58,58,Пензенская область
59,59,Пермская область
60,60,Псковская область
61,61,Ростовская область
62,62,Рязанская область
63,63,Самарская область
64,64,Саратовская область
65,65,Сахалинская область
66,66,Свердловская область
67,67,Смоленская область
68,68,Тамбовская область
69,69,Тверская область
70,70,Томская область
71,71,Тульская область
72,72,Тюменская область
73,73,Ульяновская область
74,74,Челябинская область
75,75,Читинская область
76,76,Ярославская область
77,77,Г. Москва
78,78,Г. Санкт-Петербург
79,79,Еврейская автономная область
80,80,Агинский Бурятский автономный округ
81,81,Коми-Пермяцкий автономный округ
82,82,Корякский автономный округ
83,83,Ненецкий автономный округ
84,84,Таймырский (Долгано-Ненецкий) автономный округ
85,85,Усть-Ордынский Бурятский автономный округ
86,86,Ханты-Мансийский автономный округ - Югра
87,87,Чукотский автономный округ
88,88,Эвенкийский автономный округ
89,89,Ямало-Ненецкий автономный округ
90,91,Республика Крым
91,92,Г. Севастополь
